respondent_id,database_used,context
514,IBM DB2,Web App
515,PostgreSQL,Mobile App
516,SQLite,Web App
517,PostgreSQL,Dashboard
518,MySQL,Analytics
519,MariaDB,Enterprise App
520,Microsoft SQL Server,Dashboard
521,PostgreSQL,ETL Job
522,PostgreSQL,Web App
523,MySQL,Dashboard
524,Oracle,Analytics
525,SQLite,Enterprise App
526,Microsoft SQL Server,Analytics
527,PostgreSQL,Analytics
528,PostgreSQL,Enterprise App
529,MySQL,ETL Job
530,Microsoft SQL Server,Enterprise App
531,MariaDB,Dashboard
532,Microsoft SQL Server,Web App
533,SQLite,Analytics
534,SQLite,Enterprise App
535,PostgreSQL,Web App
536,SQLite,ETL Job
537,SQLite,Enterprise App
538,PostgreSQL,ETL Job
539,SQLite,Enterprise App
540,SQLite,Dashboard
541,PostgreSQL,Analytics
542,MySQL,Mobile App
543,Oracle,ETL Job
544,Microsoft SQL Server,Mobile App
545,MySQL,Mobile App
546,PostgreSQL,Analytics
547,MySQL,Analytics
548,PostgreSQL,Analytics
549,Microsoft SQL Server,Web App
550,PostgreSQL,Enterprise App
551,Microsoft SQL Server,Enterprise App
552,MySQL,Web App
553,MySQL,Web App
554,MySQL,Web App
555,MySQL,Dashboard
556,PostgreSQL,Web App
557,MySQL,Analytics
558,Microsoft SQL Server,Web App
559,MySQL,Enterprise App
560,PostgreSQL,Enterprise App
561,PostgreSQL,Enterprise App
562,PostgreSQL,Analytics
563,MariaDB,Dashboard
564,Microsoft SQL Server,Enterprise App
565,Microsoft SQL Server,Enterprise App
566,PostgreSQL,Enterprise App
567,PostgreSQL,Enterprise App
568,MySQL,ETL Job
569,MariaDB,Enterprise App
570,SQLite,ETL Job
571,SQLite,Enterprise App
572,Oracle,Enterprise App
573,MySQL,Web App
574,MySQL,Dashboard
575,MySQL,Dashboard
576,PostgreSQL,ETL Job
577,MySQL,Analytics
578,MySQL,Web App
579,SQLite,Dashboard
580,MySQL,Dashboard
581,SQLite,Web App
582,Microsoft SQL Server,Enterprise App
583,SQLite,Enterprise App
584,Microsoft SQL Server,Analytics
585,IBM DB2,Web App
586,MySQL,ETL Job
587,Microsoft SQL Server,Dashboard
588,PostgreSQL,ETL Job
589,SQLite,ETL Job
590,Microsoft SQL Server,ETL Job
591,SQLite,Dashboard
592,PostgreSQL,Dashboard
593,SQLite,Web App
594,MySQL,Web App
595,MySQL,Mobile App
596,MariaDB,Enterprise App
597,PostgreSQL,Mobile App
598,PostgreSQL,Enterprise App
599,PostgreSQL,Web App
600,Oracle,Mobile App
601,Microsoft SQL Server,Dashboard
602,PostgreSQL,ETL Job
603,SQLite,ETL Job
604,MySQL,ETL Job
605,MySQL,Web App
606,Microsoft SQL Server,Enterprise App
607,MySQL,Dashboard
608,MySQL,Mobile App
609,MySQL,Enterprise App
610,PostgreSQL,Mobile App
611,PostgreSQL,Web App
612,Microsoft SQL Server,Enterprise App
613,Microsoft SQL Server,ETL Job
614,PostgreSQL,Web App
615,Microsoft SQL Server,ETL Job
616,SQLite,Dashboard
617,MySQL,Analytics
618,MySQL,Web App
619,MySQL,Enterprise App
620,MySQL,Enterprise App
621,MySQL,Mobile App
622,MySQL,Analytics
623,PostgreSQL,Enterprise App
624,SQLite,Mobile App
625,MySQL,Mobile App
626,PostgreSQL,ETL Job
627,Oracle,ETL Job
628,MySQL,Mobile App
629,Oracle,Enterprise App
630,Oracle,Enterprise App
631,SQLite,Dashboard
632,MariaDB,Dashboard
633,SQLite,Mobile App
634,PostgreSQL,Enterprise App
635,SQLite,Dashboard
636,Microsoft SQL Server,Enterprise App
637,PostgreSQL,Enterprise App
638,Microsoft SQL Server,Dashboard
639,MySQL,Mobile App
640,PostgreSQL,Dashboard
641,PostgreSQL,Analytics
642,SQLite,ETL Job
643,SQLite,Analytics
644,PostgreSQL,Web App
645,PostgreSQL,Mobile App
646,PostgreSQL,Dashboard
647,Oracle,ETL Job
648,Oracle,ETL Job
649,PostgreSQL,Enterprise App
650,MySQL,ETL Job
651,PostgreSQL,Dashboard
652,MySQL,Web App
653,MySQL,Mobile App
654,PostgreSQL,Enterprise App
655,Microsoft SQL Server,Dashboard
656,SQLite,Dashboard
657,SQLite,Dashboard
658,MariaDB,Enterprise App
659,MySQL,Web App
660,Microsoft SQL Server,Mobile App
661,SQLite,ETL Job
662,MySQL,Mobile App
663,SQLite,ETL Job
664,MySQL,Analytics
665,PostgreSQL,Dashboard
666,SQLite,ETL Job
667,PostgreSQL,Web App
668,SQLite,ETL Job
669,MariaDB,ETL Job
670,MariaDB,Web App
671,Oracle,Mobile App
672,MariaDB,Mobile App
673,MariaDB,Analytics
674,SQLite,Web App
675,Oracle,Mobile App
676,Oracle,Dashboard
677,MariaDB,Web App
678,MySQL,Mobile App
679,MariaDB,Web App
680,MySQL,Enterprise App
681,MySQL,Enterprise App
682,Oracle,Mobile App
683,SQLite,Mobile App
684,Oracle,ETL Job
685,Microsoft SQL Server,ETL Job
686,Oracle,Enterprise App
687,Microsoft SQL Server,Web App
688,MySQL,Analytics
689,Microsoft SQL Server,Web App
690,Microsoft SQL Server,Web App
691,Microsoft SQL Server,Analytics
692,MySQL,Web App
693,MySQL,Dashboard
694,MySQL,Web App
695,PostgreSQL,ETL Job
696,MariaDB,Dashboard
697,Microsoft SQL Server,Web App
698,SQLite,ETL Job
699,Microsoft SQL Server,Analytics
700,MariaDB,Dashboard
701,SQLite,Dashboard
702,MySQL,Mobile App
703,PostgreSQL,Dashboard
704,MariaDB,Dashboard
705,PostgreSQL,Dashboard
706,Microsoft SQL Server,Analytics
707,MySQL,Dashboard
708,MariaDB,Analytics
709,PostgreSQL,Analytics
710,Oracle,Analytics
711,Microsoft SQL Server,Analytics
712,Oracle,Dashboard
713,Oracle,Dashboard
714,PostgreSQL,ETL Job
715,SQLite,Analytics
716,PostgreSQL,Enterprise App
717,Microsoft SQL Server,Dashboard
718,Microsoft SQL Server,Mobile App
719,MySQL,Mobile App
720,PostgreSQL,Enterprise App
721,SQLite,Mobile App
722,PostgreSQL,Web App
723,PostgreSQL,ETL Job
724,PostgreSQL,Dashboard
725,SQLite,ETL Job
726,SQLite,ETL Job
727,Microsoft SQL Server,Dashboard
728,IBM DB2,Mobile App
729,PostgreSQL,Dashboard
730,MySQL,Enterprise App
731,SQLite,Mobile App
732,Oracle,Dashboard
733,PostgreSQL,Analytics
734,MySQL,Enterprise App
735,PostgreSQL,Analytics
736,PostgreSQL,Analytics
737,Microsoft SQL Server,Analytics
738,PostgreSQL,Enterprise App
739,PostgreSQL,Analytics
740,MySQL,Dashboard
741,MySQL,Mobile App
742,MariaDB,Dashboard
743,MariaDB,Mobile App
744,MySQL,ETL Job
745,SQLite,Web App
746,SQLite,Mobile App
747,MySQL,Mobile App
748,Microsoft SQL Server,Enterprise App
749,MariaDB,Dashboard
750,PostgreSQL,Enterprise App
751,MySQL,Dashboard
752,Microsoft SQL Server,Web App
753,Microsoft SQL Server,ETL Job
754,MySQL,Dashboard
755,MySQL,ETL Job
756,PostgreSQL,Enterprise App
757,PostgreSQL,Mobile App
758,PostgreSQL,Analytics
759,MySQL,Enterprise App
760,PostgreSQL,Mobile App
761,SQLite,Analytics
762,MySQL,ETL Job
763,Microsoft SQL Server,Enterprise App
764,SQLite,Enterprise App
765,PostgreSQL,Dashboard
766,SQLite,Dashboard
767,MySQL,Dashboard
768,Microsoft SQL Server,Dashboard
769,MySQL,Mobile App
770,MySQL,Dashboard
771,MariaDB,Analytics
772,MySQL,Mobile App
773,Microsoft SQL Server,Web App
774,PostgreSQL,ETL Job
775,Microsoft SQL Server,Dashboard
776,PostgreSQL,Enterprise App
777,MySQL,Web App
778,MariaDB,Dashboard
779,MySQL,ETL Job
780,Microsoft SQL Server,Analytics
781,MySQL,Analytics
782,MySQL,Analytics
783,Oracle,Web App
784,MariaDB,Analytics
785,SQLite,Dashboard
786,SQLite,Dashboard
787,MariaDB,Enterprise App
788,PostgreSQL,Web App
789,Microsoft SQL Server,Dashboard
790,Microsoft SQL Server,ETL Job
791,MySQL,Web App
792,MySQL,Analytics
793,Microsoft SQL Server,Mobile App
794,MySQL,Dashboard
795,PostgreSQL,Enterprise App
796,SQLite,ETL Job
797,Microsoft SQL Server,ETL Job
798,SQLite,Analytics
799,PostgreSQL,Enterprise App
800,MariaDB,ETL Job
801,MariaDB,ETL Job
802,SQLite,Mobile App
803,MySQL,Analytics
804,Microsoft SQL Server,Web App
805,PostgreSQL,ETL Job
806,PostgreSQL,Mobile App
807,PostgreSQL,Mobile App
808,SQLite,Enterprise App
809,PostgreSQL,ETL Job
810,MariaDB,Web App
811,Microsoft SQL Server,Dashboard
812,PostgreSQL,Analytics
813,PostgreSQL,Web App
814,SQLite,Mobile App
815,MySQL,Mobile App
816,PostgreSQL,Analytics
817,MariaDB,ETL Job
818,MariaDB,Web App
819,Microsoft SQL Server,Mobile App
820,Microsoft SQL Server,ETL Job
821,SQLite,Web App
822,PostgreSQL,ETL Job
823,PostgreSQL,Analytics
824,MariaDB,Dashboard
825,MySQL,ETL Job
826,MariaDB,Analytics
827,MySQL,Analytics
828,MySQL,Mobile App
829,PostgreSQL,Dashboard
830,MySQL,Dashboard
831,MySQL,Analytics
832,MySQL,Dashboard
833,Oracle,Dashboard
834,MariaDB,Mobile App
835,Oracle,Web App
836,MariaDB,Dashboard
837,PostgreSQL,Web App
838,PostgreSQL,Dashboard
839,MariaDB,Enterprise App
840,MariaDB,Enterprise App
841,PostgreSQL,Enterprise App
842,Microsoft SQL Server,Enterprise App
843,Microsoft SQL Server,Analytics
844,MariaDB,Enterprise App
845,MariaDB,Web App
846,MySQL,Analytics
847,PostgreSQL,Analytics
848,Oracle,Dashboard
849,MariaDB,Enterprise App
850,Microsoft SQL Server,Mobile App
851,MySQL,Enterprise App
852,MariaDB,ETL Job
853,SQLite,Enterprise App
854,SQLite,Analytics
855,MariaDB,Dashboard
856,MySQL,ETL Job
857,MariaDB,Mobile App
858,PostgreSQL,Web App
859,MySQL,Mobile App
860,PostgreSQL,Enterprise App
861,Microsoft SQL Server,Web App
862,MySQL,Dashboard
863,MySQL,Mobile App
864,MySQL,Dashboard
865,SQLite,ETL Job
866,MySQL,Dashboard
867,PostgreSQL,Mobile App
868,SQLite,Dashboard
869,PostgreSQL,Analytics
870,SQLite,Web App
871,PostgreSQL,Enterprise App
872,MariaDB,Mobile App
873,Microsoft SQL Server,Analytics
874,Microsoft SQL Server,ETL Job
875,PostgreSQL,Web App
876,SQLite,Analytics
877,Microsoft SQL Server,Web App
878,Microsoft SQL Server,Analytics
879,SQLite,Web App
880,SQLite,Enterprise App
881,MySQL,Mobile App
882,PostgreSQL,Enterprise App
883,SQLite,ETL Job
884,PostgreSQL,Enterprise App
885,SQLite,Analytics
886,MySQL,Analytics
887,SQLite,Mobile App
888,PostgreSQL,Enterprise App
889,SQLite,Web App
890,MySQL,Mobile App
891,Oracle,Web App
892,PostgreSQL,ETL Job
893,PostgreSQL,ETL Job
894,Microsoft SQL Server,Enterprise App
895,MySQL,Dashboard
896,PostgreSQL,ETL Job
897,MySQL,ETL Job
898,PostgreSQL,Mobile App
899,SQLite,Enterprise App
900,SQLite,Mobile App
901,PostgreSQL,ETL Job
902,PostgreSQL,ETL Job
903,MySQL,Mobile App
904,MySQL,Dashboard
905,PostgreSQL,Web App
906,MySQL,Mobile App
907,MariaDB,ETL Job
908,SQLite,Analytics
909,SQLite,Enterprise App
910,SQLite,Dashboard
911,PostgreSQL,Dashboard
912,SQLite,ETL Job
913,MariaDB,Enterprise App
914,SQLite,ETL Job
915,Microsoft SQL Server,Dashboard
916,SQLite,Dashboard
917,Oracle,Enterprise App
918,Microsoft SQL Server,Dashboard
919,PostgreSQL,Web App
920,MySQL,Web App
921,MariaDB,Dashboard
922,Oracle,Enterprise App
923,MySQL,Web App
924,MariaDB,Analytics
925,Microsoft SQL Server,Enterprise App
926,PostgreSQL,Web App
927,MariaDB,ETL Job
928,MySQL,Web App
929,Microsoft SQL Server,ETL Job
930,Microsoft SQL Server,Enterprise App
931,MariaDB,Analytics
932,PostgreSQL,Mobile App
933,Microsoft SQL Server,Mobile App
934,SQLite,Enterprise App
935,Microsoft SQL Server,Web App
936,SQLite,Mobile App
937,PostgreSQL,Web App
938,MySQL,Analytics
939,MariaDB,Web App
940,PostgreSQL,Web App
941,Oracle,ETL Job
942,MariaDB,Web App
943,MySQL,Enterprise App
944,PostgreSQL,Web App
945,PostgreSQL,ETL Job
946,MariaDB,Web App
947,Microsoft SQL Server,Analytics
948,Microsoft SQL Server,Dashboard
949,MariaDB,Dashboard
950,SQLite,Enterprise App
951,PostgreSQL,Enterprise App
952,Microsoft SQL Server,Enterprise App
953,MySQL,Mobile App
954,MySQL,Web App
955,PostgreSQL,Mobile App
956,MySQL,Mobile App
957,MySQL,Web App
958,Oracle,Dashboard
959,MySQL,Mobile App
960,PostgreSQL,Enterprise App
961,SQLite,Enterprise App
962,SQLite,Mobile App
963,Oracle,Mobile App
964,Microsoft SQL Server,Dashboard
965,MySQL,Analytics
966,Microsoft SQL Server,Mobile App
967,PostgreSQL,Web App
968,SQLite,Enterprise App
969,PostgreSQL,Web App
970,MySQL,Analytics
